collected_at,service_type,region,name,resource_id,status,created,updated,public_ips,private_ips,flavor_id,image_id,image_name,image_os_distro,image_os_version,image_os_type,image_release_id,image_lookup_error,image_schedule,hypervisor_id,size_gb,attachments,protocol,node_count,datastore_type,datastore_version,backup_schedule_enabled,ha_group_id,email_address,backup_container,is_encrypted,datacenter,details_json,cidr,gateway_ip,network_id,object_count,bytes_used,cdn_enabled,stack_status_reason
2026-06-30T10:39:00.962302Z,block_storage_volume,iad,System disk for 8daf4f80-47bc-41a6-bbcb-cd5974193b41,534f6a39-794b-474b-bac7-63289c030e41,in-use,,,,,,290617f3-fcd2-4357-93ab-c5d23d67d3ac,centos7-snap-20260417101921,org.centos,7,linux,centos_7_pvhvm_heat,,,,80,"[{""server_id"": ""8daf4f80-47bc-41a6-bbcb-cd5974193b41"", ""attachment_id"": ""9f3771fa-88c0-47ef-9460-9ce20b24fd29"", ""host_name"": null, ""volume_id"": ""534f6a39-794b-474b-bac7-63289c030e41"", ""device"": ""/dev/xvda"", ""id"": ""534f6a39-794b-474b-bac7-63289c030e41""}]",,,,,,,,,,,,,,,,,,
2026-06-30T10:39:00.962308Z,block_storage_volume,iad,System disk for aaabe292-762c-4847-b249-b181ead4737c,2ed2e6ce-66dc-4230-838a-23b9da9828a1,in-use,,,,,,c2cae065-ee13-40df-bb72-95d934eaec7c,Windows Server 2019 + SQL Server 2019 Standard,com.microsoft.server,2019.0,windows,windows_2019_sql2019std,,,,50,"[{""server_id"": ""aaabe292-762c-4847-b249-b181ead4737c"", ""attachment_id"": ""196e54d8-2632-489c-a796-516eeec44d89"", ""host_name"": null, ""volume_id"": ""2ed2e6ce-66dc-4230-838a-23b9da9828a1"", ""device"": ""/dev/xvda"", ""id"": ""2ed2e6ce-66dc-4230-838a-23b9da9828a1""}]",,,,,,,,,,,,,,,,,,
2026-06-30T10:39:00.962314Z,block_storage_volume,iad,System disk for aabd0740-2372-4da1-ba0d-31860d4aa9d8,d048c81d-1f65-44a3-be37-50e0c8129b2f,available,,,,,,2fd07c5d-3104-4931-882b-4fe6a115c3bd,Ubuntu 24.04 LTS (Cloud),com.ubuntu,24.04,linux,ubuntu_24.04_lts_cloud,,,,50,[],,,,,,,,,,,,,,,,,,
2026-06-30T10:39:00.962319Z,block_storage_volume,iad,bigJump,faa4a220-5384-420f-9ca8-d396fcf065b6,in-use,,,,,,,,,,,,,,,500,"[{""server_id"": ""467cf940-3b81-43d6-985f-3cbe90ed98e9"", ""attachment_id"": ""fab94419-d065-4c67-a24d-6bbe97136708"", ""host_name"": null, ""volume_id"": ""faa4a220-5384-420f-9ca8-d396fcf065b6"", ""device"": ""/dev/xvdb"", ""id"": ""faa4a220-5384-420f-9ca8-d396fcf065b6""}]",,,,,,,,,,,,,,,,,,
2026-06-30T10:39:00.962325Z,block_storage_volume,iad,jumphostssd,c49d723f-9507-4644-951f-d96e85ed3852,available,,,,,,,,,,,,,,,200,[],,,,,,,,,,,,,,,,,,
2026-06-30T10:39:00.962330Z,block_storage_volume,iad,System disk for f4680994-c54f-473a-8549-b6fb1176088c,8e7ea268-58cb-4678-9e7a-eee0bd8376bc,in-use,,,,,,613a5dd0-878c-415c-937e-4f11aae4f022,AlmaLinux 8 (PVHVM),org.almalinux,8,linux,alma_8_pvhvm,,,,50,"[{""server_id"": ""f4680994-c54f-473a-8549-b6fb1176088c"", ""attachment_id"": ""e75c339c-34bb-462b-9cf1-1ed63ceb7b02"", ""host_name"": null, ""volume_id"": ""8e7ea268-58cb-4678-9e7a-eee0bd8376bc"", ""device"": ""/dev/xvda"", ""id"": ""8e7ea268-58cb-4678-9e7a-eee0bd8376bc""}]",,,,,,,,,,,,,,,,,,
2026-06-30T10:39:00.962336Z,block_storage_volume,iad,System disk for 74ae2aed-ea59-49f4-8e1d-cca502d526b8,533de292-d94e-4c0e-9b90-145882ca51a4,available,,,,,,006590f9-caf1-43a7-b76b-6d71807921b4,Debian 11 (Bullseye) (PVHVM),org.debian,11,linux,debian_11_pvhvm,,,,50,[],,,,,,,,,,,,,,,,,,
2026-06-30T10:39:00.962341Z,block_storage_volume,iad,System disk for 8d7309ea-f39c-417b-8f50-c28f76ffd9db,b3578e10-bbb5-4680-9ba6-ce7b9b6499a0,in-use,,,,,,c4dc0279-67d9-4272-a4d3-ddfe2eaf4d4c,Debian 12 (Bookworm) (PVHVM),org.debian,12,linux,debian_12_pvhvm,,,,50,"[{""server_id"": ""8d7309ea-f39c-417b-8f50-c28f76ffd9db"", ""attachment_id"": ""00de4c4c-1811-4137-804e-8ce0d1311a1f"", ""host_name"": null, ""volume_id"": ""b3578e10-bbb5-4680-9ba6-ce7b9b6499a0"", ""device"": ""/dev/xvda"", ""id"": ""b3578e10-bbb5-4680-9ba6-ce7b9b6499a0""}]",,,,,,,,,,,,,,,,,,
2026-06-30T10:39:00.962347Z,block_storage_volume,iad,System disk for 3c37b506-7570-4d9d-8843-3629f65bcbda,badd205a-92ee-4bbd-a638-3fb2fc2bbbfb,available,,,,,,c2e5b7be-32ea-4f74-bb88-1c9a4104f8ca,Ubuntu 22.04 LTS (Jammy Jellyfish) (Cloud),com.ubuntu,22.04,linux,ubuntu_22.04_lts_cloud,,,,50,[],,,,,,,,,,,,,,,,,,
2026-06-30T10:39:00.962352Z,block_storage_volume,iad,System disk for 0d353723-3626-448d-bb60-c29dbe3b8960,dc8f2d08-e9e5-4d76-a7da-59354539255e,available,,,,,,22247828-3dc1-42db-b123-9dc5e96c81b2,Debian 10 (Buster) (PVHVM),org.debian,10,linux,debian_10_pvhvm,,,,50,[],,,,,,,,,,,,,,,,,,
